marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
3469_74_1,RPS6KA3,-0.217458988,0.00183615,0.020795692
6248_68_3,FAS,0.164922909,2.74e-5,1.13296e-4
14037_18_3,RANBP3,0.157725938,0.00253,0.020653239
9022_49_3,DEFB132,0.234000465,1.32e-5,2.77e-6
2828_82_2,SPINT1,0.155389618,0.022016463,4.49887e-4
11572_4_3,DNM2,0.115968034,0.0216,0.009127859
13661_193_3,CST5,0.278482358,0.001227132,0.018566765
12387_7_3,PDLIM4,0.164121729,0.0333,2.0565e-4
2765_4_3,GDF11,-0.08942211,0.0483,7.8e-6
8973_23_3,FCRL4,-0.169839927,0.009680987,0.001767057
7999_23_3,ENTPD1,0.246336381,1.1e-7,1.27e-6
11315_148_3,PPM1D,-0.125893304,0.004764309,0.013853689
4453_83_3,LRRTM3,-0.136492623,0.021840383,0.006427268
10752_8_3,CDYL2,0.289714642,9.69091e-4,0.015631092
8893_29_3,PARP1,-0.242615028,0.004376498,0.006117537
5825_49_3,IFNGR1,0.111684201,0.0203,0.002489485
9014_18_3,TMEM25,0.225450558,0.010991834,3.25639e-4
2632_5_2,IL12RB1,-0.23411858,0.001164079,0.01819388
9277_16_3,REG3A,0.445059918,2.97e-6,5.14e-6
9816_37_3,ISOC1,-0.203839961,5.51528e-4,0.005997711
12734_112_3,KIF22,-0.211602187,7.52987e-4,0.021444192
6234_74_3,VIT,0.118710205,0.0101,7.95e-10
5646_20_3,RNASE6,0.117006656,0.006837402,3.34917e-4
5355_69_3,TNFSF14,-0.240442333,0.003428455,0.029139085
14287_6_3,RAB5C,-0.19865469,0.014481386,0.00712867
8300_82_3,PEX14,0.109169309,0.0256,1.18e-4
9221_6_3,ITPRIPL1,0.236981386,3.61e-5,3.13902e-4
13724_27_3,FGF19,-0.14164891,9.45e-4,1.18e-5
12548_75_3,RRAGC,0.213496663,1.80819e-4,0.002191759
8398_277_3,RARRES1,-0.172275787,4.09142e-4,1.02e-5
14108_15_3,TGFB1,0.195557537,5.50793e-4,0.003635189
2516_57_3,CCL21,-0.123809225,0.0228,0.004235694
